property_type,state_name,place_name_clean,surface_total_m2_clean,price_usd_per_m2_clean,rooms_clean,keyword_category
PH,Capital Federal,Mataderos,55.0,1127.27,2.0,low
apartment,Capital Federal,Mataderos,55.0,1309.09,2.0,low
apartment,Buenos Aires Costa Atlántica,Centro,35.0,1828.57,2.0,low
PH,Bs.As. G.B.A. Zona Norte,Munro,106.0,1226.42,3.0,low
apartment,Capital Federal,Belgrano,45.0,3066.67,1.0,medium
apartment,Capital Federal,Belgrano,65.0,3000.0,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,Martínez,39.0,2948.72,2.0,medium
apartment,Capital Federal,Palermo Soho,50.0,2234.0,1.0,medium
apartment,Capital Federal,Palermo Soho,42.0,3521.43,1.0,medium
house,Bs.As. G.B.A. Zona Norte,Bella Vista,164.0,1524.39,4.0,medium
PH,Capital Federal,Mataderos,140.0,1707.14,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Barrio El Golf,176.0,1789.77,3.0,medium
house,Bs.As. G.B.A. Zona Norte,Tigre,270.0,2111.11,2.0,low
apartment,Capital Federal,Palermo,104.0,3365.38,3.0,medium
apartment,Capital Federal,Palermo,118.0,2292.37,4.0,low
house,Bs.As. G.B.A. Zona Oeste,General Rodríguez,200.0,1450.0,4.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Pilar,48.0,1708.33,2.0,medium
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,160.0,2218.75,4.0,high
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,160.0,2240.94,4.0,high
house,Bs.As. G.B.A. Zona Norte,Barrio San Gabriel,230.0,1152.17,2.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,160.0,2263.44,4.0,high
apartment,Capital Federal,Flores,43.0,1744.19,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Pilar,150.0,1186.67,4.0,medium
house,Bs.As. G.B.A. Zona Norte,Munro,207.0,628.02,3.0,medium
apartment,Córdoba,Córdoba,50.0,616.92,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Barrio El Golf,186.0,1747.31,3.0,high
PH,Bs.As. G.B.A. Zona Norte,Munro,172.0,982.56,6.0,medium
apartment,Capital Federal,Boedo,80.0,1812.5,4.0,medium
house,Córdoba,Malagueño,75.0,934.73,3.0,low
apartment,Capital Federal,Las Cañitas,220.0,2181.82,3.0,high
house,Bs.As. G.B.A. Zona Norte,Pilar,120.0,1066.67,4.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Del Viso,138.0,869.57,3.0,high
house,Bs.As. G.B.A. Zona Norte,Pilar,47.0,1574.47,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Pilar,32.0,2468.75,1.0,high
house,Bs.As. G.B.A. Zona Norte,Pilar,209.0,1531.1,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Pilar,30.0,1566.67,1.0,high
PH,Bs.As. G.B.A. Zona Norte,Pilar,140.0,1178.57,4.0,high
house,Capital Federal,Puerto Madero,80.0,875.0,1.0,low
apartment,Capital Federal,Balvanera,141.0,1702.13,5.0,medium
house,Bs.As. G.B.A. Zona Norte,Escobar,250.0,980.0,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,142.0,3098.59,4.0,high
apartment,Capital Federal,Caballito,50.0,2200.0,3.0,low
apartment,Capital Federal,Caballito,100.0,1705.0,2.0,low
apartment,Capital Federal,Caballito,81.0,2721.11,3.0,low
apartment,Capital Federal,Caballito,81.0,2750.37,3.0,low
apartment,Capital Federal,Caballito,70.0,1542.86,3.0,low
apartment,Capital Federal,Nuñez,50.0,3460.0,2.0,high
house,Bs.As. G.B.A. Zona Sur,Fincas de Iraola,290.0,1586.21,2.0,low
house,Bs.As. G.B.A. Zona Norte,Pilar,140.0,1135.71,3.0,low
apartment,Capital Federal,Boedo,38.0,1918.42,1.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,332.0,1054.22,6.0,low
house,Misiones,Posadas,225.0,888.89,5.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,29.0,1758.62,1.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,90.0,1944.44,3.0,low
house,Misiones,Posadas,261.0,1181.84,5.0,low
PH,Buenos Aires Costa Atlántica,Mar del Plata,140.0,657.14,4.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,42.0,1902.38,2.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,28.0,1960.71,1.0,medium
house,Bs.As. G.B.A. Zona Oeste,Caseros,331.0,785.5,5.0,medium
apartment,Buenos Aires Costa Atlántica,San Bernardo,75.0,720.0,2.0,low
apartment,Capital Federal,Almagro,50.0,2198.0,2.0,high
house,Córdoba,Córdoba,200.0,238.36,3.0,low
house,Capital Federal,Capital Federal,180.0,944.44,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,75.0,2333.33,3.0,low
PH,Buenos Aires Costa Atlántica,Pinamar,330.0,530.3,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Beccar,264.0,1401.52,4.0,low
house,Capital Federal,Capital Federal,200.0,1600.0,7.0,medium
house,Capital Federal,Capital Federal,340.0,1088.24,5.0,medium
house,Entre Ríos,Colón,344.0,423.89,4.0,low
house,Bs.As. G.B.A. Zona Sur,Lanús Este,95.0,1263.16,4.0,low
house,Córdoba,Punilla,129.0,543.45,2.0,low
house,Entre Ríos,Colón,328.0,189.99,3.0,low
house,Bs.As. G.B.A. Zona Sur,Banfield,80.0,2062.5,3.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,112.0,892.86,3.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,47.0,1531.91,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,110.0,1545.45,3.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,97.0,876.29,3.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,338.0,295.86,5.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,36.0,2072.22,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,84.0,1666.67,3.0,high
apartment,Buenos Aires Costa Atlántica,Mar del Plata,30.0,2166.67,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,36.0,1527.78,2.0,low
house,Santa Fe,Reconquista,195.0,719.02,5.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,29.0,1927.59,1.0,low
PH,Capital Federal,Barracas,156.0,1025.64,5.0,low
house,Bs.As. G.B.A. Zona Norte,San Andres,190.0,568.42,4.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Sáenz Peña,43.0,1558.14,2.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Sáenz Peña,43.0,1558.14,2.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Ramos Mejía,60.0,1833.33,3.0,low
apartment,Capital Federal,Recoleta,196.0,1938.78,7.0,low
house,Bs.As. G.B.A. Zona Norte,Estancias del Pilar,350.0,1542.86,3.0,low
PH,Capital Federal,Palermo,240.0,1312.5,3.0,high
store,Capital Federal,Congreso,103.0,2864.08,1.0,low
apartment,Capital Federal,Villa Crespo,42.0,1757.14,1.0,low
apartment,Capital Federal,Villa Crespo,44.0,1636.36,1.0,low
apartment,Capital Federal,Las Cañitas,68.0,3455.88,2.0,medium
apartment,Capital Federal,Belgrano,57.0,4210.53,2.0,high
house,Bs.As. G.B.A. Zona Norte,Belén de Escobar,140.0,857.14,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,Belén de Escobar,32.0,1437.14,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,Belén de Escobar,49.0,1373.48,2.0,low
store,Capital Federal,Chacarita,80.0,2187.5,1.0,low
apartment,Capital Federal,Belgrano,160.0,3437.5,4.0,medium
apartment,Capital Federal,Villa Crespo,33.0,1878.79,1.0,low
apartment,Capital Federal,Belgrano,310.0,3548.39,6.0,high
apartment,Capital Federal,Belgrano,69.0,3447.75,2.0,high
apartment,Capital Federal,Belgrano,69.0,3447.75,2.0,high
apartment,Capital Federal,Flores,65.0,1523.08,3.0,low
apartment,Capital Federal,Nuñez,66.0,3469.7,2.0,low
apartment,Capital Federal,Nuñez,45.0,3000.0,1.0,low
apartment,Capital Federal,Recoleta,191.0,3246.07,5.0,medium
apartment,Capital Federal,Belgrano,33.0,2806.06,1.0,high
apartment,Capital Federal,Caballito,158.0,2816.46,5.0,medium
PH,Capital Federal,Almagro,85.0,1941.18,4.0,low
apartment,Santa Fe,Rosario,36.0,2022.13,1.0,low
apartment,Santa Fe,Rosario,128.0,995.49,1.0,medium
house,Buenos Aires Costa Atlántica,Pinamar,130.0,807.69,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Tigre,300.0,1400.0,1.0,low
house,Bs.As. G.B.A. Zona Norte,Benavidez,300.0,1400.0,1.0,low
house,Bs.As. G.B.A. Zona Norte,Tigre,300.0,1400.0,1.0,low
apartment,Capital Federal,Palermo,39.0,3776.92,1.0,medium
apartment,Capital Federal,Puerto Madero,109.0,5045.87,4.0,high
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,80.0,3875.0,3.0,medium
apartment,Capital Federal,Constitución,90.0,987.78,3.0,low
apartment,Capital Federal,Puerto Madero,198.0,6035.35,4.0,high
apartment,Capital Federal,Belgrano,128.0,2656.25,4.0,medium
PH,Capital Federal,Mataderos,28.0,1892.86,1.0,low
apartment,Capital Federal,Recoleta,33.0,3636.36,1.0,medium
apartment,Capital Federal,Palermo,175.0,2514.29,4.0,medium
apartment,Capital Federal,Colegiales,126.0,1888.89,4.0,medium
apartment,Capital Federal,Villa Urquiza,127.0,2106.3,4.0,medium
apartment,Capital Federal,Villa Crespo,120.0,2541.67,4.0,medium
house,Bs.As. G.B.A. Zona Sur,Las Golondrinas,205.0,1609.76,4.0,low
apartment,Capital Federal,Barrio Norte,37.0,2648.65,3.0,low
house,Santa Fe,Rosario,200.0,350.52,7.0,medium
apartment,Capital Federal,Palermo Hollywood,47.0,2872.34,2.0,low
house,Bs.As. G.B.A. Zona Sur,Lanús Este,376.0,1143.62,6.0,medium
apartment,Capital Federal,Saavedra,38.0,2500.0,1.0,high
apartment,Capital Federal,Saavedra,71.0,2549.3,3.0,high
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,66.0,2166.67,3.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,46.0,2608.7,2.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Castelar,80.0,2000.0,3.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,234.0,512.82,3.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,56.0,1642.86,3.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,114.0,1666.67,3.0,high
apartment,Buenos Aires Costa Atlántica,Mar del Plata,65.0,1769.23,3.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,330.0,287.88,3.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,300.0,466.67,3.0,low
PH,Buenos Aires Costa Atlántica,Mar del Plata,40.0,1500.0,2.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,286.0,419.58,3.0,low
apartment,Buenos Aires Interior,Bahía Blanca,40.0,1156.73,2.0,low
house,Misiones,Posadas,338.0,887.57,5.0,low
apartment,Bs.As. G.B.A. Zona Norte,Victoria,142.0,3098.59,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,San Fernando,48.0,1979.17,2.0,low
house,Bs.As. G.B.A. Zona Norte,Beccar,326.0,904.91,5.0,low
house,Capital Federal,Capital Federal,160.0,1531.25,3.0,medium
house,Capital Federal,Capital Federal,125.0,3440.0,4.0,low
house,Capital Federal,Capital Federal,125.0,3440.0,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,San Fernando,60.0,1550.0,3.0,low
house,Bs.As. G.B.A. Zona Norte,Virreyes,300.0,333.33,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,San Isidro,86.0,3139.53,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Acassuso,38.0,2315.79,4.0,low
house,Bs.As. G.B.A. Zona Norte,Acassuso,260.0,1673.08,4.0,medium
apartment,Bs.As. G.B.A. Zona Norte,San Fernando,70.0,1571.43,2.0,low
apartment,Neuquén,Neuquén,85.0,2823.53,3.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,96.0,2006.25,2.0,high
apartment,Buenos Aires Costa Atlántica,Mar del Plata,103.0,2281.55,3.0,high
house,Bs.As. G.B.A. Zona Norte,Villa Ballester,120.0,1083.33,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,General San Martín,53.0,2830.19,3.0,low
apartment,Capital Federal,Paternal,27.0,2283.54,1.0,low
apartment,Capital Federal,Paternal,27.0,2312.77,1.0,low
apartment,Capital Federal,Paternal,27.0,2342.43,1.0,low
apartment,Capital Federal,Paternal,27.0,2372.09,1.0,low
apartment,Capital Federal,Paternal,32.0,2326.62,1.0,low
apartment,Capital Federal,Paternal,32.0,2356.62,1.0,low
apartment,Capital Federal,Paternal,32.0,2386.61,1.0,low
apartment,Capital Federal,Paternal,27.0,2296.41,1.0,low
apartment,Capital Federal,Paternal,27.0,2326.51,1.0,low
apartment,Capital Federal,Paternal,27.0,2356.6,1.0,low
apartment,Capital Federal,Paternal,27.0,2386.48,1.0,low
apartment,Capital Federal,Paternal,27.0,2416.58,1.0,low
apartment,Capital Federal,Paternal,33.0,2261.47,1.0,low
apartment,Capital Federal,Paternal,33.0,2291.27,1.0,low
apartment,Capital Federal,Paternal,33.0,2320.9,1.0,low
apartment,Capital Federal,Paternal,28.0,2356.57,1.0,low
apartment,Capital Federal,Paternal,28.0,2386.64,1.0,low
apartment,Capital Federal,Paternal,28.0,2416.72,1.0,low
store,Capital Federal,Recoleta,33.0,4212.12,1.0,medium
PH,Santa Fe,Rosario,29.0,1392.42,1.0,low
apartment,Santa Fe,Rosario,46.0,1280.17,2.0,low
house,Bs.As. G.B.A. Zona Sur,Lisandro Olmos,260.0,519.23,4.0,low
apartment,Bs.As. G.B.A. Zona Sur,La Plata,59.0,1739.54,2.0,medium
apartment,Bs.As. G.B.A. Zona Sur,La Plata,45.0,1832.07,2.0,medium
apartment,Bs.As. G.B.A. Zona Sur,La Plata,59.0,1834.6,2.0,medium
apartment,Capital Federal,Caballito,28.0,2303.57,1.0,low
house,Córdoba,Córdoba,180.0,1000.0,5.0,medium
apartment,Capital Federal,Puerto Madero,54.0,6481.48,2.0,low
apartment,Capital Federal,Agronomía,56.0,2500.0,2.0,high
PH,Capital Federal,Villa Pueyrredón,116.0,1706.9,3.0,medium
apartment,Capital Federal,Caballito,42.0,2166.67,1.0,medium
apartment,Capital Federal,Coghlan,39.0,2461.54,1.0,high
apartment,Capital Federal,Palermo,70.0,2557.14,3.0,medium
apartment,Capital Federal,Almagro,77.0,2727.27,4.0,medium
apartment,Capital Federal,Caballito,200.0,1775.0,5.0,medium
apartment,Capital Federal,Parque Centenario,200.0,1775.0,5.0,medium
apartment,Córdoba,Córdoba,54.0,2108.33,2.0,low
apartment,Córdoba,Córdoba,65.0,1897.35,2.0,low
house,Bs.As. G.B.A. Zona Norte,Pilar,192.0,1484.38,3.0,low
house,Bs.As. G.B.A. Zona Norte,Pilar,200.0,1350.0,3.0,low
house,Bs.As. G.B.A. Zona Norte,Pilar,350.0,1200.0,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,San Fernando,65.0,1307.69,2.0,low
house,Bs.As. G.B.A. Zona Norte,Vicente López,291.0,1958.76,6.0,medium
apartment,Buenos Aires Costa Atlántica,La Perla,125.0,1240.0,4.0,medium
apartment,Capital Federal,Puerto Madero,54.0,6481.48,2.0,low
apartment,Capital Federal,Puerto Madero,54.0,6111.11,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Pilar,315.0,1492.06,4.0,high
apartment,Capital Federal,San Telmo,41.0,2642.83,1.0,high
apartment,Córdoba,Villa Carlos Paz,60.0,2666.67,3.0,medium
apartment,Capital Federal,Almagro,56.0,2142.86,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,300.0,1266.67,3.0,low
apartment,Capital Federal,Monserrat,60.0,2000.0,2.0,low
apartment,Capital Federal,Recoleta,235.0,2936.17,5.0,low
PH,Bs.As. G.B.A. Zona Oeste,San Justo,49.0,1428.57,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,120.0,2416.67,3.0,high
house,Bs.As. G.B.A. Zona Norte,Barrio Los Lagos,365.0,2301.37,5.0,low
house,Bs.As. G.B.A. Zona Norte,Pilar,280.0,1250.0,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,130.0,2307.69,4.0,medium
house,Capital Federal,Floresta,200.0,1400.0,7.0,high
apartment,Capital Federal,Belgrano,150.0,3466.67,3.0,high
house,Bs.As. G.B.A. Zona Sur,Bernal,300.0,833.33,4.0,medium
apartment,Capital Federal,Recoleta,140.0,2700.0,4.0,low
apartment,Córdoba,Córdoba,95.0,1504.37,4.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,43.0,2005.56,2.0,low
apartment,Córdoba,Córdoba,48.0,1397.56,2.0,medium
house,Bs.As. G.B.A. Zona Norte,San Martín,206.0,679.61,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,San Martín,40.0,1950.0,2.0,low
house,Buenos Aires Interior,Buenos Aires Interior,293.0,1313.99,4.0,medium
apartment,Capital Federal,Flores,120.0,1000.0,1.0,low
house,Bs.As. G.B.A. Zona Sur,Jose Marmol,238.0,840.34,5.0,low
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,242.0,495.87,3.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,170.0,700.0,4.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,140.0,3357.14,4.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,77.0,1623.38,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,77.0,1493.51,2.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,33.0,1818.18,1.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,38.0,1292.51,1.0,medium
apartment,Buenos Aires Costa Atlántica,Mar del Plata,78.0,1326.24,3.0,high
apartment,Buenos Aires Costa Atlántica,Mar del Plata,55.0,1264.43,2.0,medium
apartment,Córdoba,Córdoba,73.0,1369.86,1.0,high
apartment,Buenos Aires Costa Atlántica,Mar del Plata,55.0,1200.0,2.0,low
apartment,Santa Fe,Rosario,30.0,1589.04,1.0,low
house,Buenos Aires Costa Atlántica,Caisamar,110.0,1181.82,4.0,low
apartment,Capital Federal,Boca,83.0,1686.75,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Martínez,59.0,2830.51,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,San Fernando,84.0,1488.1,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Martínez,320.0,2781.25,1.0,low
house,Capital Federal,Capital Federal,160.0,1531.25,3.0,medium
house,Bs.As. G.B.A. Zona Norte,Vicente López,291.0,1958.76,4.0,medium
house,Capital Federal,Capital Federal,297.0,703.7,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Victoria,52.0,2346.15,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Victoria,52.0,2403.85,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Martínez,68.0,2838.24,3.0,low
store,Capital Federal,San Telmo,75.0,2186.67,1.0,low
store,Capital Federal,San Telmo,79.0,2658.23,1.0,low
PH,Capital Federal,Mataderos,326.0,751.53,4.0,medium
apartment,Capital Federal,Caballito,28.0,2339.29,1.0,medium
PH,Capital Federal,Mataderos,150.0,1100.0,3.0,low
house,Capital Federal,Parque Avellaneda,191.0,837.7,3.0,low
apartment,Capital Federal,Boca,33.0,1606.06,1.0,low
apartment,Capital Federal,Coghlan,104.0,2057.69,4.0,high
house,Bs.As. G.B.A. Zona Norte,Santa Barbara Barrio Cerrado,302.0,3245.03,3.0,low
apartment,Capital Federal,Palermo,106.0,2924.53,3.0,medium
house,Bs.As. G.B.A. Zona Norte,Tigre,100.0,1700.0,6.0,low
apartment,Córdoba,Córdoba,42.0,1602.39,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,147.0,5782.31,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,81.0,2716.05,1.0,high
apartment,Bs.As. G.B.A. Zona Norte,Rincón de Milberg,91.0,3021.98,3.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,74.0,3108.11,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,104.0,1759.62,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,46.0,3586.96,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,45.0,2888.89,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,75.0,2800.0,4.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,70.0,2214.29,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,45.0,3555.56,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Enyoi,61.0,2918.03,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Tigre,160.0,1687.5,3.0,low
house,Bs.As. G.B.A. Zona Norte,Tigre,160.0,1812.5,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Enyoi,62.0,2774.19,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,52.0,2019.23,2.0,low
house,Bs.As. G.B.A. Zona Norte,Nordelta,210.0,3428.57,5.0,low
house,Bs.As. G.B.A. Zona Norte,Tigre,340.0,1735.29,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,50.0,2600.0,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Rincón de Milberg,68.0,2426.47,3.0,high
apartment,Bs.As. G.B.A. Zona Norte,Tigre,75.0,3000.0,3.0,high
house,Bs.As. G.B.A. Zona Norte,Tigre,355.0,3239.44,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Santa Barbara Barrio Cerrado,303.0,3234.32,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,68.0,2676.47,3.0,medium
house,Bs.As. G.B.A. Zona Norte,Tigre,220.0,1909.09,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,QBay Yacht,83.0,2891.57,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,65.0,2892.31,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,50.0,2600.0,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,35.0,2714.29,1.0,medium
house,Bs.As. G.B.A. Zona Norte,Nordelta,180.0,2000.0,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,91.0,4560.44,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,48.0,3520.83,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Santa Barbara Barrio Cerrado,370.0,2702.7,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,47.0,2489.36,2.0,low
apartment,Bs.As. G.B.A. Zona Norte,La Lucila,75.0,2800.0,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,La Lucila,125.0,3304.0,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,La Lucila,100.0,3560.0,3.0,medium
house,Bs.As. G.B.A. Zona Norte,Barrio San Matías,200.0,1150.0,3.0,low
house,Bs.As. G.B.A. Zona Norte,Olivos Golf Club,300.0,1983.33,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,Tigre,59.0,2796.61,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Nordelta,350.0,2714.29,6.0,medium
house,Bs.As. G.B.A. Zona Norte,Barrio La Alameda,105.0,2190.48,4.0,low
apartment,Bs.As. G.B.A. Zona Norte,QBay Yacht,77.0,3116.88,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,45.0,2622.22,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,46.0,3586.96,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Islas del Canal,74.0,3513.51,3.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,70.0,2142.86,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,72.0,1944.44,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Islas del Canal,47.0,3617.02,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,46.0,3152.17,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,48.0,3229.17,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,58.0,3275.86,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,59.0,3898.31,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,58.0,3189.66,2.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Olivos,44.0,5681.82,1.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,37.0,2972.97,1.0,low
apartment,Bs.As. G.B.A. Zona Norte,Rincón de Milberg,62.0,2580.65,2.0,medium
house,Bs.As. G.B.A. Zona Norte,Nordelta,220.0,2113.64,4.0,medium
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,50.0,3160.0,2.0,high
apartment,Bs.As. G.B.A. Zona Norte,Tigre,91.0,2252.75,4.0,high
apartment,Bs.As. G.B.A. Zona Norte,Nordelta,55.0,4000.0,2.0,high
house,Bs.As. G.B.A. Zona Norte,Pilar,210.0,1233.33,4.0,low
apartment,Capital Federal,Recoleta,43.0,3883.72,2.0,high
apartment,Capital Federal,San Telmo,55.0,1709.09,3.0,medium
store,Capital Federal,Barrio Norte,210.0,2857.14,1.0,low
apartment,Capital Federal,Boca,55.0,1709.09,3.0,medium
apartment,Capital Federal,Barracas,55.0,1709.09,3.0,medium
apartment,Capital Federal,Recoleta,28.0,3750.0,1.0,high
apartment,Capital Federal,Recoleta,37.0,3513.51,1.0,high
apartment,Capital Federal,Recoleta,61.0,3852.46,2.0,high
house,Bs.As. G.B.A. Zona Norte,Mayling Club de Campo,210.0,1619.05,4.0,high
apartment,Capital Federal,Palermo,43.0,3604.65,1.0,high
apartment,Capital Federal,Palermo,75.0,3266.67,1.0,high
house,Bs.As. G.B.A. Zona Sur,Longchamps,100.0,476.71,4.0,low
PH,Bs.As. G.B.A. Zona Sur,Burzaco,55.0,938.13,3.0,low
apartment,Bs.As. G.B.A. Zona Norte,Pilar,56.0,1303.57,2.0,high
apartment,Capital Federal,Almagro,38.0,2065.53,1.0,high
house,Bs.As. G.B.A. Zona Norte,Ricardo Rojas,250.0,840.0,2.0,low
apartment,Bs.As. G.B.A. Zona Sur,Quilmes,63.0,2222.22,3.0,low
apartment,Buenos Aires Costa Atlántica,Pinamar,35.0,1542.86,2.0,low
house,Bs.As. G.B.A. Zona Norte,Bella Vista,200.0,475.0,3.0,low
house,Buenos Aires Costa Atlántica,Mar del Plata,180.0,611.11,5.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,70.0,928.57,3.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,39.0,1666.67,2.0,low
store,Buenos Aires Costa Atlántica,Mar del Plata,60.0,1666.67,1.0,low
apartment,Buenos Aires Costa Atlántica,Mar del Plata,88.0,1761.36,3.0,medium
apartment,Bs.As. G.B.A. Zona Norte,General San Martín,60.0,1166.67,3.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Villa Raffo,88.0,1363.64,4.0,low
apartment,Bs.As. G.B.A. Zona Oeste,Villa Bosch,67.0,1268.66,2.0,low
